temporada,torneo,jornada,fecha,hora,local,visitante,goles_local,goles_visitante
2010/11,Apertura,1,,20:10,Estudiantes Tecos,Cruz Azul,0,3
2010/11,Apertura,1,,17:00,Jaguares Chiapas,Club Necaxa,1,1
2010/11,Apertura,1,,19:00,CF Pachuca,CF América,3,0
2010/11,Apertura,1,,,UANL Tigres,Gallos Blancos,0,1
2010/11,Apertura,1,,,Deportivo Guadalajara,Puebla FC,0,0
2010/11,Apertura,1,,20:45,Club San Luis,CF Monterrey,1,1
2010/11,Apertura,1,,21:00,Atlante,Santos Laguna,1,4
2010/11,Apertura,1,,12:00,Monarcas Morelia,Atlas Guadalajara,1,0
2010/11,Apertura,1,,,Pumas UNAM,Deportivo Toluca,2,1
2010/11,Apertura,2,,20:10,Club Necaxa,UANL Tigres,0,2
2010/11,Apertura,2,,17:00,Cruz Azul,Atlante,2,0
2010/11,Apertura,2,,,Gallos Blancos,Atlas Guadalajara,2,1
2010/11,Apertura,2,,19:00,CF Monterrey,Estudiantes Tecos,3,2
2010/11,Apertura,2,,,Santos Laguna,Pumas UNAM,4,0
2010/11,Apertura,2,,12:00,Deportivo Toluca,CF Pachuca,1,1
2010/11,Apertura,2,,,Puebla FC,Club San Luis,2,1
2010/11,Apertura,2,,16:30,CF América,Jaguares Chiapas,3,0
2010/11,Apertura,2,,20:45,Deportivo Guadalajara,Monarcas Morelia,0,1
2010/11,Apertura,3,,17:00,Jaguares Chiapas,Deportivo Toluca,1,1
2010/11,Apertura,3,,19:00,CF Pachuca,Santos Laguna,0,3
2010/11,Apertura,3,,,UANL Tigres,CF América,1,1
2010/11,Apertura,3,,20:45,Atlas Guadalajara,Club Necaxa,0,1
2010/11,Apertura,3,,,Club San Luis,Deportivo Guadalajara,0,1
2010/11,Apertura,3,,21:00,Atlante,CF Monterrey,1,2
2010/11,Apertura,3,,12:00,Monarcas Morelia,Gallos Blancos,6,0
2010/11,Apertura,3,,,Pumas UNAM,Cruz Azul,2,0
2010/11,Apertura,3,,17:00,Estudiantes Tecos,Puebla FC,1,3
2010/11,Apertura,4,,20:10,Club Necaxa,Gallos Blancos,1,1
2010/11,Apertura,4,,17:00,Cruz Azul,CF Pachuca,4,1
2010/11,Apertura,4,,19:00,CF Monterrey,Pumas UNAM,5,2
2010/11,Apertura,4,,,Santos Laguna,Jaguares Chiapas,1,0
2010/11,Apertura,4,,20:45,Club San Luis,Monarcas Morelia,1,0
2010/11,Apertura,4,,12:00,Deportivo Toluca,UANL Tigres,1,1
2010/11,Apertura,4,,,Puebla FC,Atlante,1,1
2010/11,Apertura,4,,16:30,CF América,Atlas Guadalajara,1,1
2010/11,Apertura,4,,18:00,Deportivo Guadalajara,Estudiantes Tecos,3,0
2010/11,Apertura,5,,20:10,Estudiantes Tecos,Club San Luis,3,2
2010/11,Apertura,5,,17:00,Jaguares Chiapas,Cruz Azul,2,3
2010/11,Apertura,5,,19:00,CF Pachuca,CF Monterrey,2,2
2010/11,Apertura,5,,,UANL Tigres,Santos Laguna,1,0
2010/11,Apertura,5,,20:45,Atlas Guadalajara,Deportivo Toluca,0,1
2010/11,Apertura,5,,21:00,Atlante,Deportivo Guadalajara,2,1
2010/11,Apertura,5,,12:00,Monarcas Morelia,Club Necaxa,1,0
2010/11,Apertura,5,,,Pumas UNAM,Puebla FC,4,1
2010/11,Apertura,5,,16:30,Gallos Blancos,CF América,0,1
2010/11,Apertura,6,,20:10,Estudiantes Tecos,Monarcas Morelia,1,1
2010/11,Apertura,6,,17:00,Cruz Azul,UANL Tigres,3,2
2010/11,Apertura,6,,19:00,CF Monterrey,Jaguares Chiapas,1,1
2010/11,Apertura,6,,,Santos Laguna,Atlas Guadalajara,3,1
2010/11,Apertura,6,,,Deportivo Guadalajara,Pumas UNAM,0,0
2010/11,Apertura,6,,20:45,Club San Luis,Atlante,2,1
2010/11,Apertura,6,,12:00,Deportivo Toluca,Gallos Blancos,2,0
2010/11,Apertura,6,,,Puebla FC,CF Pachuca,3,1
2010/11,Apertura,6,,16:30,CF América,Club Necaxa,1,1
2010/11,Apertura,7,,20:10,Club Necaxa,Deportivo Toluca,1,1
2010/11,Apertura,7,,17:00,Gallos Blancos,Santos Laguna,5,2
2010/11,Apertura,7,,,Jaguares Chiapas,Puebla FC,4,0
2010/11,Apertura,7,,19:00,CF Pachuca,Deportivo Guadalajara,1,1
2010/11,Apertura,7,,,UANL Tigres,CF Monterrey,0,1
2010/11,Apertura,7,,20:45,Atlas Guadalajara,Cruz Azul,1,3
2010/11,Apertura,7,,21:00,Atlante,Estudiantes Tecos,0,1
2010/11,Apertura,7,,12:00,Monarcas Morelia,CF América,0,2
2010/11,Apertura,7,,,Pumas UNAM,Club San Luis,0,1
2010/11,Apertura,8,,20:10,Estudiantes Tecos,Pumas UNAM,2,2
2010/11,Apertura,8,,17:00,Cruz Azul,Gallos Blancos,3,0
2010/11,Apertura,8,,19:00,CF Monterrey,Atlas Guadalajara,2,0
2010/11,Apertura,8,,,Santos Laguna,Club Necaxa,2,1
2010/11,Apertura,8,,,Deportivo Guadalajara,Jaguares Chiapas,0,3
2010/11,Apertura,8,,,Club San Luis,CF Pachuca,1,0
2010/11,Apertura,8,,21:00,Atlante,Monarcas Morelia,2,0
2010/11,Apertura,8,,12:00,Deportivo Toluca,CF América,2,1
2010/11,Apertura,8,,,Puebla FC,UANL Tigres,1,3
2010/11,Apertura,9,,20:10,Club Necaxa,Cruz Azul,2,1
2010/11,Apertura,9,,17:00,Gallos Blancos,CF Monterrey,0,0
2010/11,Apertura,9,,,Jaguares Chiapas,Club San Luis,2,1
2010/11,Apertura,9,,19:00,CF Pachuca,Estudiantes Tecos,3,1
2010/11,Apertura,9,,20:45,Atlas Guadalajara,Puebla FC,1,0
2010/11,Apertura,9,,12:00,UANL Tigres,Deportivo Guadalajara,1,1
2010/11,Apertura,9,,,Monarcas Morelia,Deportivo Toluca,1,2
2010/11,Apertura,9,,,Pumas UNAM,Atlante,2,2
2010/11,Apertura,9,,17:00,CF América,Santos Laguna,3,2
2010/11,Apertura,10,,20:10,Estudiantes Tecos,Jaguares Chiapas,0,0
2010/11,Apertura,10,,19:00,CF Monterrey,Club Necaxa,2,1
2010/11,Apertura,10,,,Santos Laguna,Deportivo Toluca,2,0
2010/11,Apertura,10,,,Club San Luis,UANL Tigres,1,0
2010/11,Apertura,10,,21:00,Atlante,CF Pachuca,1,3
2010/11,Apertura,10,,12:00,Pumas UNAM,Monarcas Morelia,1,0
2010/11,Apertura,10,,,Puebla FC,Gallos Blancos,2,0
2010/11,Apertura,10,,16:30,Cruz Azul,CF América,1,0
2010/11,Apertura,10,,,Deportivo Guadalajara,Atlas Guadalajara,2,2
2010/11,Apertura,11,,20:10,Club Necaxa,Puebla FC,1,0
2010/11,Apertura,11,,17:00,Gallos Blancos,Deportivo Guadalajara,2,2
2010/11,Apertura,11,,,Jaguares Chiapas,Atlante,2,0
2010/11,Apertura,11,,19:00,CF Pachuca,Pumas UNAM,3,2
2010/11,Apertura,11,,,UANL Tigres,Estudiantes Tecos,5,0
2010/11,Apertura,11,,20:45,Atlas Guadalajara,Club San Luis,2,1
2010/11,Apertura,11,,12:00,Monarcas Morelia,Santos Laguna,0,0
2010/11,Apertura,11,,,Deportivo Toluca,Cruz Azul,0,0
2010/11,Apertura,11,,16:00,CF América,CF Monterrey,0,0
2010/11,Apertura,12,,20:10,Estudiantes Tecos,Atlas Guadalajara,2,1
2010/11,Apertura,12,,17:00,Cruz Azul,Santos Laguna,3,0
2010/11,Apertura,12,,,Club San Luis,Gallos Blancos,3,2
2010/11,Apertura,12,,19:00,CF Pachuca,Monarcas Morelia,1,1
2010/11,Apertura,12,,,Deportivo Guadalajara,Club Necaxa,1,0
2010/11,Apertura,12,,21:00,CF Monterrey,Deportivo Toluca,2,0
2010/11,Apertura,12,,,Atlante,UANL Tigres,1,1
2010/11,Apertura,12,,12:00,Pumas UNAM,Jaguares Chiapas,1,0
2010/11,Apertura,12,,,Puebla FC,CF América,2,2
2010/11,Apertura,13,,20:10,Club Necaxa,Club San Luis,0,2
2010/11,Apertura,13,,17:00,Gallos Blancos,Estudiantes Tecos,1,0
2010/11,Apertura,13,,,Jaguares Chiapas,CF Pachuca,2,0
2010/11,Apertura,13,,19:00,Santos Laguna,CF Monterrey,1,2
2010/11,Apertura,13,,,UANL Tigres,Pumas UNAM,2,0
2010/11,Apertura,13,,20:45,Atlas Guadalajara,Atlante,3,1
2010/11,Apertura,13,,12:00,Monarcas Morelia,Cruz Azul,1,1
2010/11,Apertura,13,,,Deportivo Toluca,Puebla FC,2,1
2010/11,Apertura,13,,17:00,CF América,Deportivo Guadalajara,0,0
2010/11,Apertura,14,,20:00,CF Pachuca,UANL Tigres,2,3
2010/11,Apertura,14,,21:00,Pumas UNAM,Atlas Guadalajara,1,1
2010/11,Apertura,14,,18:00,Estudiantes Tecos,Club Necaxa,0,2
2010/11,Apertura,14,,20:00,Jaguares Chiapas,Monarcas Morelia,0,0
2010/11,Apertura,14,,,Puebla FC,Santos Laguna,0,1
2010/11,Apertura,14,,20:30,Deportivo Guadalajara,Deportivo Toluca,0,0
2010/11,Apertura,14,,21:00,Atlante,Gallos Blancos,1,0
2010/11,Apertura,14,,,CF Monterrey,Cruz Azul,2,4
2010/11,Apertura,14,,20:30,Club San Luis,CF América,1,2
2010/11,Apertura,15,,17:00,Cruz Azul,Puebla FC,1,0
2010/11,Apertura,15,,,Gallos Blancos,Pumas UNAM,2,1
2010/11,Apertura,15,,19:00,Santos Laguna,Deportivo Guadalajara,1,1
2010/11,Apertura,15,,,UANL Tigres,Jaguares Chiapas,0,0
2010/11,Apertura,15,,19:45,Atlas Guadalajara,CF Pachuca,1,2
2010/11,Apertura,15,,12:00,Monarcas Morelia,CF Monterrey,0,2
2010/11,Apertura,15,,,Deportivo Toluca,Club San Luis,1,2
2010/11,Apertura,15,,17:00,Club Necaxa,Atlante,1,2
2010/11,Apertura,15,,,CF América,Estudiantes Tecos,4,1
2010/11,Apertura,16,,20:10,Estudiantes Tecos,Deportivo Toluca,4,2
2010/11,Apertura,16,,17:00,Jaguares Chiapas,Atlas Guadalajara,2,1
2010/11,Apertura,16,,,Club San Luis,Santos Laguna,1,1
2010/11,Apertura,16,,19:00,CF Pachuca,Gallos Blancos,2,1
2010/11,Apertura,16,,,UANL Tigres,Monarcas Morelia,0,1
2010/11,Apertura,16,,,Deportivo Guadalajara,Cruz Azul,0,0
2010/11,Apertura,16,,21:00,Atlante,CF América,0,1
2010/11,Apertura,16,,12:00,Pumas UNAM,Club Necaxa,2,0
2010/11,Apertura,16,,,Puebla FC,CF Monterrey,2,0
2010/11,Apertura,17,,20:10,Club Necaxa,CF Pachuca,1,2
2010/11,Apertura,17,,17:00,Cruz Azul,Club San Luis,1,0
2010/11,Apertura,17,,,Gallos Blancos,Jaguares Chiapas,1,1
2010/11,Apertura,17,,,CF Monterrey,Deportivo Guadalajara,2,3
2010/11,Apertura,17,,19:00,Santos Laguna,Estudiantes Tecos,1,0
2010/11,Apertura,17,,20:45,Atlas Guadalajara,UANL Tigres,2,2
2010/11,Apertura,17,,12:00,Monarcas Morelia,Puebla FC,3,3
2010/11,Apertura,17,,,Deportivo Toluca,Atlante,1,1
2010/11,Apertura,17,,16:30,CF América,Pumas UNAM,0,1
2010/11,Apertura,17,,19:00,Club San Luis,CF América,0,0
2010/11,Apertura,17,,21:00,Pumas UNAM,Cruz Azul,1,2
2010/11,Apertura,17,,18:00,CF Pachuca,CF Monterrey,1,1
2010/11,Apertura,17,,20:00,Jaguares Chiapas,Santos Laguna,1,1
2010/11,Apertura,17,,17:00,Cruz Azul,Pumas UNAM,0,2
2010/11,Apertura,17,,19:00,CF América,Club San Luis,4,1
2010/11,Apertura,17,,16:00,CF Monterrey,CF Pachuca,3,3
2010/11,Apertura,17,,18:00,Santos Laguna,Jaguares Chiapas,1,0
2010/11,Apertura,17,,19:00,CF América,Santos Laguna,1,2
2010/11,Apertura,17,,21:00,Pumas UNAM,CF Monterrey,0,0
2010/11,Apertura,17,,18:00,Santos Laguna,CF América,3,3
2010/11,Apertura,17,,20:00,CF Monterrey,Pumas UNAM,2,0
2010/11,Apertura,17,,20:00,Santos Laguna,CF Monterrey,3,2
2010/11,Apertura,17,,18:00,CF Monterrey,Santos Laguna,3,0
2010/11,Clausura,1,,20:10,Club Necaxa,Jaguares Chiapas,0,1
2010/11,Clausura,1,,17:00,CF Monterrey,Club San Luis,0,2
2010/11,Clausura,1,,,Gallos Blancos,UANL Tigres,2,2
2010/11,Clausura,1,,,Cruz Azul,Estudiantes Tecos,4,1
2010/11,Clausura,1,,19:00,Santos Laguna,Atlante,2,1
2010/11,Clausura,1,,20:45,Atlas Guadalajara,Monarcas Morelia,5,0
2010/11,Clausura,1,,12:00,Puebla FC,Deportivo Guadalajara,1,1
2010/11,Clausura,1,,,Deportivo Toluca,Pumas UNAM,1,1
2010/11,Clausura,1,,16:00,CF América,CF Pachuca,0,2
2010/11,Clausura,2,,20:10,Estudiantes Tecos,CF Monterrey,3,2
2010/11,Clausura,2,,17:00,Jaguares Chiapas,CF América,2,2
2010/11,Clausura,2,,,Club San Luis,Puebla FC,3,0
2010/11,Clausura,2,,19:00,UANL Tigres,Club Necaxa,1,0
2010/11,Clausura,2,,,CF Pachuca,Deportivo Toluca,0,0
2010/11,Clausura,2,,20:45,Atlas Guadalajara,Gallos Blancos,2,1
2010/11,Clausura,2,,21:00,Atlante,Cruz Azul,3,0
2010/11,Clausura,2,,12:00,Pumas UNAM,Santos Laguna,2,0
2010/11,Clausura,2,,,Monarcas Morelia,Deportivo Guadalajara,1,1
2010/11,Clausura,3,,20:10,Club Necaxa,Atlas Guadalajara,0,1
2010/11,Clausura,3,,17:00,CF Monterrey,Atlante,1,0
2010/11,Clausura,3,,,Gallos Blancos,Monarcas Morelia,0,3
2010/11,Clausura,3,,,Cruz Azul,Pumas UNAM,3,3
2010/11,Clausura,3,,19:00,Deportivo Guadalajara,Club San Luis,1,1
2010/11,Clausura,3,,,Santos Laguna,CF Pachuca,1,1
2010/11,Clausura,3,,12:00,Puebla FC,Estudiantes Tecos,2,0
2010/11,Clausura,3,,,Deportivo Toluca,Jaguares Chiapas,2,0
2010/11,Clausura,3,,16:00,CF América,UANL Tigres,1,2
2010/11,Clausura,4,,20:10,Estudiantes Tecos,Deportivo Guadalajara,1,0
2010/11,Clausura,4,,17:00,Jaguares Chiapas,Santos Laguna,1,2
2010/11,Clausura,4,,,Gallos Blancos,Club Necaxa,1,0
2010/11,Clausura,4,,19:00,UANL Tigres,Deportivo Toluca,0,1
2010/11,Clausura,4,,,CF Pachuca,Cruz Azul,0,4
2010/11,Clausura,4,,20:45,Atlas Guadalajara,CF América,0,2
2010/11,Clausura,4,,21:00,Atlante,Puebla FC,2,0
2010/11,Clausura,4,,12:00,Pumas UNAM,CF Monterrey,3,2
2010/11,Clausura,4,,,Monarcas Morelia,Club San Luis,3,3
2010/11,Clausura,5,,20:10,Club Necaxa,Monarcas Morelia,0,0
2010/11,Clausura,5,,17:00,CF Monterrey,CF Pachuca,2,0
2010/11,Clausura,5,,19:00,Cruz Azul,Jaguares Chiapas,2,0
2010/11,Clausura,5,,,Deportivo Guadalajara,Atlante,2,0
2010/11,Clausura,5,,,Santos Laguna,UANL Tigres,0,2
2010/11,Clausura,5,,20:45,Club San Luis,Estudiantes Tecos,3,2
2010/11,Clausura,5,,12:00,Puebla FC,Pumas UNAM,0,1
2010/11,Clausura,5,,,Deportivo Toluca,Atlas Guadalajara,0,0
2010/11,Clausura,5,,16:00,CF América,Gallos Blancos,3,1
2010/11,Clausura,6,,20:10,Club Necaxa,CF América,1,0
2010/11,Clausura,6,,17:00,Jaguares Chiapas,CF Monterrey,1,4
2010/11,Clausura,6,,,Gallos Blancos,Deportivo Toluca,0,5
2010/11,Clausura,6,,19:00,UANL Tigres,Cruz Azul,2,0
2010/11,Clausura,6,,,CF Pachuca,Puebla FC,1,0
2010/11,Clausura,6,,20:45,Atlas Guadalajara,Santos Laguna,1,2
2010/11,Clausura,6,,21:00,Atlante,Club San Luis,0,0
2010/11,Clausura,6,,12:00,Pumas UNAM,Deportivo Guadalajara,1,1
2010/11,Clausura,6,,,Monarcas Morelia,Estudiantes Tecos,4,1
2010/11,Clausura,7,,20:10,Estudiantes Tecos,Atlante,0,1
2010/11,Clausura,7,,20:30,Club San Luis,Pumas UNAM,0,1
2010/11,Clausura,7,,17:00,CF Monterrey,UANL Tigres,0,0
2010/11,Clausura,7,,,Cruz Azul,Atlas Guadalajara,2,1
2010/11,Clausura,7,,19:00,Deportivo Guadalajara,CF Pachuca,4,1
2010/11,Clausura,7,,,Santos Laguna,Gallos Blancos,0,2
2010/11,Clausura,7,,12:00,Puebla FC,Jaguares Chiapas,1,0
2010/11,Clausura,7,,,Deportivo Toluca,Club Necaxa,2,3
2010/11,Clausura,7,,16:00,CF América,Monarcas Morelia,1,2
2010/11,Clausura,8,,20:10,Club Necaxa,Santos Laguna,1,0
2010/11,Clausura,8,,17:00,Jaguares Chiapas,Deportivo Guadalajara,1,0
2010/11,Clausura,8,,,Gallos Blancos,Cruz Azul,1,1
2010/11,Clausura,8,,19:00,UANL Tigres,Puebla FC,3,0
2010/11,Clausura,8,,,CF Pachuca,Club San Luis,0,0
2010/11,Clausura,8,,20:45,Atlas Guadalajara,CF Monterrey,1,0
2010/11,Clausura,8,,12:00,Pumas UNAM,Estudiantes Tecos,5,1
2010/11,Clausura,8,,,Monarcas Morelia,Atlante,2,1
2010/11,Clausura,8,,16:00,CF América,Deportivo Toluca,4,3
2010/11,Clausura,9,,20:10,Estudiantes Tecos,CF Pachuca,1,0
2010/11,Clausura,9,,17:00,CF Monterrey,Gallos Blancos,2,0
2010/11,Clausura,9,,,Cruz Azul,Club Necaxa,0,0
2010/11,Clausura,9,,19:00,Deportivo Guadalajara,UANL Tigres,0,0
2010/11,Clausura,9,,,Santos Laguna,CF América,2,3
2010/11,Clausura,9,,20:45,Club San Luis,Jaguares Chiapas,0,0
2010/11,Clausura,9,,21:00,Atlante,Pumas UNAM,0,2
2010/11,Clausura,9,,12:00,Puebla FC,Atlas Guadalajara,2,0
2010/11,Clausura,9,,,Deportivo Toluca,Monarcas Morelia,1,6
2010/11,Clausura,10,,20:10,Club Necaxa,CF Monterrey,0,1
2010/11,Clausura,10,,17:00,Jaguares Chiapas,Estudiantes Tecos,0,2
2010/11,Clausura,10,,,Gallos Blancos,Puebla FC,2,1
2010/11,Clausura,10,,19:00,UANL Tigres,Club San Luis,1,1
2010/11,Clausura,10,,,CF Pachuca,Atlante,0,4
2010/11,Clausura,10,,20:45,Atlas Guadalajara,Deportivo Guadalajara,1,1
2010/11,Clausura,10,,12:00,Deportivo Toluca,Santos Laguna,3,1
2010/11,Clausura,10,,,Monarcas Morelia,Pumas UNAM,0,1
2010/11,Clausura,10,,18:00,CF América,Cruz Azul,0,2
2010/11,Clausura,11,,20:10,Estudiantes Tecos,UANL Tigres,0,0
2010/11,Clausura,11,,17:00,CF Monterrey,CF América,2,1
2010/11,Clausura,11,,,Cruz Azul,Deportivo Toluca,1,0
2010/11,Clausura,11,,19:00,Deportivo Guadalajara,Gallos Blancos,2,0
2010/11,Clausura,11,,,Santos Laguna,Monarcas Morelia,0,1
2010/11,Clausura,11,,20:45,Club San Luis,Atlas Guadalajara,1,1
2010/11,Clausura,11,,21:00,Atlante,Jaguares Chiapas,5,1
2010/11,Clausura,11,,12:00,Puebla FC,Club Necaxa,1,0
2010/11,Clausura,11,,,Pumas UNAM,CF Pachuca,0,0
2010/11,Clausura,12,,20:10,Club Necaxa,Deportivo Guadalajara,1,2
2010/11,Clausura,12,,17:00,Jaguares Chiapas,Pumas UNAM,3,1
2010/11,Clausura,12,,,Gallos Blancos,Club San Luis,3,2
2010/11,Clausura,12,,19:00,UANL Tigres,Atlante,2,0
2010/11,Clausura,12,,,Santos Laguna,Cruz Azul,3,0
2010/11,Clausura,12,,20:45,Atlas Guadalajara,Estudiantes Tecos,1,1
2010/11,Clausura,12,,12:00,Deportivo Toluca,CF Monterrey,1,1
2010/11,Clausura,12,,,Monarcas Morelia,CF Pachuca,1,3
2010/11,Clausura,12,,18:00,CF América,Puebla FC,5,4
2010/11,Clausura,13,,20:10,Estudiantes Tecos,Gallos Blancos,0,0
2010/11,Clausura,13,,17:00,Cruz Azul,Monarcas Morelia,2,3
2010/11,Clausura,13,,19:00,CF Monterrey,Santos Laguna,1,1
2010/11,Clausura,13,,,CF Pachuca,Jaguares Chiapas,3,0
2010/11,Clausura,13,,,Club San Luis,Club Necaxa,0,0
2010/11,Clausura,13,,21:00,Atlante,Atlas Guadalajara,3,1
2010/11,Clausura,13,,12:00,Puebla FC,Deportivo Toluca,1,1
2010/11,Clausura,13,,,Pumas UNAM,UANL Tigres,2,0
2010/11,Clausura,13,,18:00,Deportivo Guadalajara,CF América,3,0
2010/11,Clausura,14,,20:30,CF América,Club San Luis,3,0
2010/11,Clausura,14,,20:30,Monarcas Morelia,Jaguares Chiapas,2,1
2010/11,Clausura,14,,19:00,Santos Laguna,Puebla FC,4,0
2010/11,Clausura,14,,,Deportivo Toluca,Deportivo Guadalajara,1,2
2010/11,Clausura,14,,,Club Necaxa,Estudiantes Tecos,2,2
2010/11,Clausura,14,,20:00,Gallos Blancos,Atlante,1,4
2010/11,Clausura,14,,20:30,Cruz Azul,CF Monterrey,3,0
2010/11,Clausura,14,,20:45,UANL Tigres,CF Pachuca,4,2
2010/11,Clausura,14,,,Atlas Guadalajara,Pumas UNAM,0,0
2010/11,Clausura,15,,17:00,Jaguares Chiapas,UANL Tigres,0,1
2010/11,Clausura,15,,19:00,CF Monterrey,Monarcas Morelia,1,1
2010/11,Clausura,15,,,Deportivo Guadalajara,Santos Laguna,0,1
2010/11,Clausura,15,,,CF Pachuca,Atlas Guadalajara,1,2
2010/11,Clausura,15,,,Atlante,Club Necaxa,1,1
2010/11,Clausura,15,,,Puebla FC,Cruz Azul,2,0
2010/11,Clausura,15,,20:45,Club San Luis,Deportivo Toluca,1,2
2010/11,Clausura,15,,12:00,Pumas UNAM,Gallos Blancos,3,0
2010/11,Clausura,15,,17:00,Estudiantes Tecos,CF América,1,3
2010/11,Clausura,16,,20:10,Club Necaxa,Pumas UNAM,0,1
2010/11,Clausura,16,,17:00,Gallos Blancos,CF Pachuca,1,1
2010/11,Clausura,16,,,Cruz Azul,Deportivo Guadalajara,1,1
2010/11,Clausura,16,,19:00,CF Monterrey,Puebla FC,1,1
2010/11,Clausura,16,,,Santos Laguna,Club San Luis,1,3
2010/11,Clausura,16,,20:45,Atlas Guadalajara,Jaguares Chiapas,2,0
2010/11,Clausura,16,,12:00,Deportivo Toluca,Estudiantes Tecos,4,4
2010/11,Clausura,16,,,Monarcas Morelia,UANL Tigres,0,3
2010/11,Clausura,16,,17:00,CF América,Atlante,1,1
2010/11,Clausura,17,,20:10,Estudiantes Tecos,Santos Laguna,1,3
2010/11,Clausura,17,,17:00,Jaguares Chiapas,Gallos Blancos,4,1
2010/11,Clausura,17,,19:00,Deportivo Guadalajara,CF Monterrey,2,3
2010/11,Clausura,17,,,UANL Tigres,Atlas Guadalajara,3,0
2010/11,Clausura,17,,,CF Pachuca,Club Necaxa,1,1
2010/11,Clausura,17,,20:45,Club San Luis,Cruz Azul,0,0
2010/11,Clausura,17,,21:00,Atlante,Deportivo Toluca,2,1
2010/11,Clausura,17,,12:00,Puebla FC,Monarcas Morelia,0,2
2010/11,Clausura,17,,,Pumas UNAM,CF América,0,2
2010/11,Clausura,17,,19:00,Deportivo Guadalajara,UANL Tigres,3,1
2010/11,Clausura,17,,21:00,Cruz Azul,Atlante,2,1
2010/11,Clausura,17,,19:00,CF Monterrey,Pumas UNAM,3,1
2010/11,Clausura,17,,21:00,CF América,Monarcas Morelia,1,2
2010/11,Clausura,17,,19:00,UANL Tigres,Deportivo Guadalajara,1,1
2010/11,Clausura,17,,21:00,Atlante,Cruz Azul,0,0
2010/11,Clausura,17,,12:00,Pumas UNAM,CF Monterrey,2,0
2010/11,Clausura,17,,20:00,Monarcas Morelia,CF América,3,2
2010/11,Clausura,17,,19:00,Deportivo Guadalajara,Pumas UNAM,1,1
2010/11,Clausura,17,,21:00,Cruz Azul,Monarcas Morelia,2,0
2010/11,Clausura,17,,12:00,Pumas UNAM,Deportivo Guadalajara,2,0
2010/11,Clausura,17,,20:00,Monarcas Morelia,Cruz Azul,3,0
2010/11,Clausura,17,,20:30,Monarcas Morelia,Pumas UNAM,1,1
2010/11,Clausura,17,,12:00,Pumas UNAM,Monarcas Morelia,2,1
2011/12,Apertura,1,,20:10,Estudiantes Tecos,Deportivo Toluca,1,2
2011/12,Apertura,1,,17:00,CF Pachuca,Santos Laguna,1,4
2011/12,Apertura,1,,19:00,UANL Tigres,Cruz Azul,1,1
2011/12,Apertura,1,,,Club Tijuana,Monarcas Morelia,1,2
2011/12,Apertura,1,,20:45,Atlas Guadalajara,Puebla FC,0,1
2011/12,Apertura,1,,21:00,Atlante,Deportivo Guadalajara,0,2
2011/12,Apertura,1,,12:00,Pumas UNAM,Club San Luis,2,0
2011/12,Apertura,1,,16:00,CF América,Gallos Blancos,2,1
2011/12,Apertura,1,,18:00,Jaguares Chiapas,CF Monterrey,1,4
2011/12,Apertura,2,,17:00,Cruz Azul,Atlas Guadalajara,2,1
2011/12,Apertura,2,,,Gallos Blancos,UANL Tigres,0,0
2011/12,Apertura,2,,19:00,CF Monterrey,Club Tijuana,4,2
2011/12,Apertura,2,,,Santos Laguna,Atlante,3,0
2011/12,Apertura,2,,20:45,Club San Luis,Estudiantes Tecos,2,1
2011/12,Apertura,2,,12:00,Monarcas Morelia,Pumas UNAM,0,1
2011/12,Apertura,2,,,Puebla FC,CF Pachuca,2,2
2011/12,Apertura,2,,,Deportivo Toluca,CF América,1,1
2011/12,Apertura,2,,17:00,Deportivo Guadalajara,Jaguares Chiapas,2,1
2011/12,Apertura,3,,19:00,CF América,Estudiantes Tecos,1,2
2011/12,Apertura,3,,20:30,CF Pachuca,Cruz Azul,1,0
2011/12,Apertura,3,,20:45,Atlas Guadalajara,Gallos Blancos,3,0
2011/12,Apertura,3,,,UANL Tigres,Deportivo Toluca,2,2
2011/12,Apertura,3,,21:00,Pumas UNAM,CF Monterrey,2,1
2011/12,Apertura,3,,,Atlante,Puebla FC,5,1
2011/12,Apertura,3,,18:00,Club Tijuana,Deportivo Guadalajara,0,1
2011/12,Apertura,3,,20:00,Jaguares Chiapas,Santos Laguna,3,2
2011/12,Apertura,3,,12:00,Club San Luis,Monarcas Morelia,2,3
2011/12,Apertura,4,,16:00,Cruz Azul,Atlante,2,1
2011/12,Apertura,4,,17:00,Gallos Blancos,CF Pachuca,2,1
2011/12,Apertura,4,,19:00,Deportivo Guadalajara,Pumas UNAM,0,0
2011/12,Apertura,4,,,Santos Laguna,Club Tijuana,1,3
2011/12,Apertura,4,,21:00,CF Monterrey,Monarcas Morelia,2,0
2011/12,Apertura,4,,12:00,Puebla FC,Jaguares Chiapas,1,2
2011/12,Apertura,4,,,Deportivo Toluca,Atlas Guadalajara,0,0
2011/12,Apertura,4,,18:00,Estudiantes Tecos,UANL Tigres,0,1
2011/12,Apertura,4,,20:30,CF América,Club San Luis,2,2
2011/12,Apertura,5,,20:10,Monarcas Morelia,Deportivo Guadalajara,1,2
2011/12,Apertura,5,,17:00,Club San Luis,CF Monterrey,1,0
2011/12,Apertura,5,,17:30,Jaguares Chiapas,Cruz Azul,1,1
2011/12,Apertura,5,,18:00,UANL Tigres,CF América,2,2
2011/12,Apertura,5,,19:00,CF Pachuca,Deportivo Toluca,3,0
